ts,open,high,low,close,volume,turnover
1752055200000,0.9999,1.0085,0.9997,0.9998,1476188.28,1478609.398263
1752058800000,0.9998,1.0001,0.9997,0.9999,1315786.39,1315616.228855
1752062400000,0.9999,1.0015,0.9998,1,1106554.9,1106810.308471
1752066000000,1,1.0003,0.9999,1,1285351.47,1285444.340381
1752069600000,1,1.0002,0.9999,1.0001,1250377.26,1250444.66796
1752073200000,1.0001,1.0003,1,1.0001,1348175.25,1348372.782026
1752076800000,1.0001,1.0004,1,1.0001,691330.13,691466.484484
1752080400000,1.0001,1.0004,1,1.0001,875353.89,875519.198297
1752084000000,1.0001,1.0005,1,1.0001,739368.05,739463.87508
1752087600000,1.0001,1.0002,1,1.0001,2138400.32,2138591.522443
1752091200000,1.0001,1.0002,0.9998,0.9999,780617.68,780661.602734
1752094800000,0.9999,1.0001,0.9998,0.9999,294054.5,294040.482029
1752098400000,0.9999,1.0001,0.9998,1,399323,399302.424857
1752102000000,1,1.0001,0.9999,1,112126.8,112121.908602
1752105600000,1,1.0001,0.9999,1,108663.52,108662.174717
1752109200000,1,1.0001,0.9999,0.9999,158750.87,158745.198259
1752112800000,0.9999,1.0001,0.9999,0.9999,411172.15,411158.981335
1752116400000,0.9999,1.0001,0.9999,0.9999,579840.82,579824.138414
1752120000000,0.9999,1,0.9997,0.9997,422816.05,422739.28347
1752123600000,0.9997,0.9999,0.9996,0.9999,778402.17,778218.964698
1752127200000,0.9999,0.9999,0.9997,0.9998,291087.49,291039.603981
1752130800000,0.9998,1,0.9998,1,484191.3,484164.6955
1752134400000,1,1,0.9999,1,573663.58,573634.010554
1752138000000,1,1.0001,0.9998,1,478594.44,478567.515379
1752141600000,1,1.0002,1,1,699678.1,699719.357826
1752145200000,1,1.0002,1,1.0001,455235.46,455273.041172
1752148800000,1.0001,1.0001,1,1.0001,302655.93,302670.031537
1752152400000,1.0001,1.0001,0.9998,1,277794.45,277779.38614
1752156000000,1,1,0.9998,0.9999,218988.52,218971.781804
1752159600000,0.9999,1,0.9997,0.9997,307290.48,307237.283373
1752163200000,0.9997,1,0.9997,1,215772.27,215743.834579
1752166800000,1,1,0.9996,0.9998,306136.5,306062.114451
1752170400000,0.9998,0.9999,0.9995,0.9996,257907.21,257852.385525
1752174000000,0.9996,0.9996,0.9995,0.9995,275173.71,275050.61593
1752177600000,0.9995,0.9996,0.9995,0.9996,468537.62,468326.811338
1752181200000,0.9996,0.9996,0.9995,0.9995,109882.47,109834.016188
1752184800000,0.9995,0.9996,0.9993,0.9995,199278.33,199185.250325
1752188400000,0.9995,0.9999,0.9995,0.9998,137248.17,137195.224387
1752192000000,0.9998,0.9999,0.9997,0.9998,374225.93,374155.595103
1752195600000,0.9998,0.9999,0.9997,0.9998,324310.04,324252.130277
1752199200000,0.9998,0.9998,0.9997,0.9998,502838.62,502712.810027
1752202800000,0.9998,0.9998,0.9997,0.9998,288525.35,288453.204739
1752206400000,0.9998,0.9998,0.9997,0.9997,462496.07,462380.498269
1752210000000,0.9997,0.9998,0.9997,0.9998,1148110.48,1147824.987147
1752213600000,0.9998,0.9998,0.9997,0.9997,584697.51,584550.387018
1752217200000,0.9997,0.9998,0.9997,0.9997,634890.5,634731.656011
1752220800000,0.9997,1,0.9996,0.9998,2938055.55,2937394.959654
1752224400000,0.9998,0.9998,0.9996,0.9996,1013574.68,1013220.689968
1752228000000,0.9996,0.9997,0.9996,0.9996,499807.89,499626.284396
1752231600000,0.9996,0.9997,0.9996,0.9996,460661.36,460493.121104
1752235200000,0.9996,0.9998,0.9995,0.9996,3180766.06,3179631.756474
1752238800000,0.9996,0.9999,0.9996,0.9999,448358.88,448246.720915
