ts,open,high,low,close,volume,turnover
1764026100000,0.9994,0.9994,0.9994,0.9994,0,0
1764026400000,0.9994,0.9994,0.9994,0.9994,0,0
1764026700000,0.9994,0.9994,0.9994,0.9994,0,0
1764027000000,0.9994,0.9994,0.9994,0.9994,0,0
1764027300000,0.9994,0.9994,0.9994,0.9994,0,0
1764027600000,0.9994,0.9994,0.9994,0.9994,0,0
1764027900000,0.9994,0.9994,0.9993,0.9993,13.47,13.460571
1764028200000,0.9993,0.9993,0.9993,0.9993,0,0
1764028500000,0.9993,0.9993,0.9993,0.9993,130,129.909
1764028800000,0.9993,0.9993,0.9993,0.9993,0,0
1764029100000,0.9993,0.9993,0.9993,0.9993,565.49,565.094157
1764029400000,0.9993,0.9993,0.9993,0.9993,0,0
1764029700000,0.9993,0.9993,0.9993,0.9993,0,0
1764030000000,0.9993,0.9993,0.9993,0.9993,541.56,541.180908
1764030300000,0.9993,0.9993,0.9993,0.9993,0,0
1764030600000,0.9993,0.9993,0.9993,0.9993,343.81,343.569333
1764030900000,0.9993,0.9993,0.9993,0.9993,0,0
1764031200000,0.9993,0.9993,0.9993,0.9993,0,0
1764031500000,0.9993,0.9993,0.9993,0.9993,539.78,539.402154
1764031800000,0.9993,0.9993,0.9993,0.9993,0,0
1764032100000,0.9993,0.9994,0.9993,0.9993,100.51,100.448243
1764032400000,0.9993,0.9993,0.9993,0.9993,0,0
1764032700000,0.9993,0.9993,0.9993,0.9993,0,0
1764033000000,0.9993,0.9994,0.9993,0.9994,86,85.9484
1764033300000,0.9994,0.9994,0.9993,0.9993,1593.65,1592.534445
1764033600000,0.9993,0.9993,0.9993,0.9993,10.25,10.242825
1764033900000,0.9993,0.9995,0.9993,0.9995,120989,120916.406615
1764034200000,0.9995,0.9995,0.9995,0.9995,0,0
1764034500000,0.9995,0.9995,0.9995,0.9995,0,0
1764034800000,0.9995,0.9995,0.9994,0.9994,100,99.94
1764035100000,0.9994,0.9994,0.9993,0.9993,11.18,11.172174
1764035400000,0.9993,0.9994,0.9993,0.9994,73,72.9562
1764035700000,0.9994,0.9994,0.9994,0.9994,0,0
1764036000000,0.9994,0.9994,0.9994,0.9994,101,100.9394
1764036300000,0.9994,0.9994,0.9994,0.9994,0,0
1764036600000,0.9994,0.9994,0.9994,0.9994,0,0
1764036900000,0.9994,0.9994,0.9993,0.9993,10.83,10.822419
1764037200000,0.9993,0.9993,0.9993,0.9993,0,0
1764037500000,0.9993,0.9993,0.9993,0.9993,0,0
1764037800000,0.9993,0.9993,0.9993,0.9993,10.11,10.102923
1764038100000,0.9993,0.9993,0.9993,0.9993,70,69.951
1764038400000,0.9993,0.9993,0.9993,0.9993,0,0
1764038700000,0.9993,0.9993,0.9993,0.9993,13.59,13.580487
1764039000000,0.9993,0.9993,0.9993,0.9993,0,0
1764039300000,0.9993,0.9993,0.9993,0.9993,0,0
1764039600000,0.9993,0.9993,0.9993,0.9993,0,0
1764039900000,0.9993,0.9993,0.9993,0.9993,0,0
1764040200000,0.9993,0.9993,0.9993,0.9993,256.34,256.160562
1764040500000,0.9993,0.9993,0.9993,0.9993,0,0
1764040800000,0.9993,0.9993,0.9993,0.9993,0,0
1764041100000,0.9993,0.9993,0.9993,0.9993,0,0
1764041400000,0.9993,0.9993,0.9993,0.9993,11.46,11.451978
1764041700000,0.9993,0.9993,0.9993,0.9993,0,0
1764042000000,0.9993,0.9993,0.9993,0.9993,0,0
1764042300000,0.9993,0.9993,0.9993,0.9993,0,0
1764042600000,0.9993,0.9993,0.9993,0.9993,0,0
1764042900000,0.9993,0.9993,0.9993,0.9993,12.63,12.621159
1764043200000,0.9993,0.9993,0.9993,0.9993,0,0
1764043500000,0.9993,0.9993,0.9993,0.9993,0,0
1764043800000,0.9993,0.9993,0.9993,0.9993,0,0
1764044100000,0.9993,0.9993,0.9993,0.9993,0,0
1764044400000,0.9993,0.9993,0.9993,0.9993,10.53,10.522629
1764044700000,0.9993,0.9993,0.9993,0.9993,0,0
1764045000000,0.9993,0.9993,0.9993,0.9993,0,0
1764045300000,0.9993,0.9993,0.9993,0.9993,0,0
1764045600000,0.9993,0.9993,0.9993,0.9993,12.82,12.811026
1764045900000,0.9993,0.9993,0.9993,0.9993,0,0
1764046200000,0.9993,0.9993,0.9993,0.9993,10.03,10.022979
1764046500000,0.9993,0.9993,0.9993,0.9993,0,0
1764046800000,0.9993,0.9993,0.9993,0.9993,0,0
1764047100000,0.9993,0.9993,0.9993,0.9993,0,0
1764047400000,0.9993,0.9993,0.9993,0.9993,13.45,13.440585
1764047700000,0.9993,0.9993,0.9993,0.9993,0,0
1764048000000,0.9993,0.9993,0.9993,0.9993,100.93,100.859349
1764048300000,0.9993,0.9993,0.9993,0.9993,959.79,959.118147
1764048600000,0.9993,0.9993,0.9993,0.9993,909.8,909.16314
1764048900000,0.9993,0.9993,0.9993,0.9993,509.63,509.273259
1764049200000,0.9993,0.9993,0.9993,0.9993,0,0
1764049500000,0.9993,0.9993,0.9993,0.9993,12.4,12.39132
1764049800000,0.9993,0.9993,0.9993,0.9993,174.75,174.627675
1764050100000,0.9993,0.9993,0.9993,0.9993,0,0
1764050400000,0.9993,0.9993,0.9993,0.9993,0,0
1764050700000,0.9993,0.9993,0.9993,0.9993,14.49,14.479857
1764051000000,0.9993,0.9993,0.9993,0.9993,0,0
1764051300000,0.9993,0.9993,0.9993,0.9993,0,0
1764051600000,0.9993,0.9993,0.9993,0.9993,0,0
1764051900000,0.9993,0.9993,0.9993,0.9993,10.55,10.542615
1764052200000,0.9993,0.9993,0.9993,0.9993,917.54,916.897722
1764052500000,0.9993,0.9993,0.9993,0.9993,0,0
1764052800000,0.9993,0.9993,0.9993,0.9993,562.4,562.00632
1764053100000,0.9993,0.9993,0.9993,0.9993,20.35,20.335755
1764053400000,0.9993,0.9993,0.9993,0.9993,1024.41,1023.692913
1764053700000,0.9993,0.9993,0.9993,0.9993,11.72,11.711796
1764054000000,0.9993,0.9993,0.9993,0.9993,0,0
1764054300000,0.9993,0.9993,0.9993,0.9993,299.05,298.840665
1764054600000,0.9993,0.9993,0.9993,0.9993,5,4.9965
1764054900000,0.9993,0.9993,0.9993,0.9993,484.75,484.410675
1764055200000,0.9993,0.9993,0.9993,0.9993,0,0
1764055500000,0.9993,0.9993,0.9993,0.9993,50.42,50.384706
