ts,open,high,low,close,volume,turnover
1742752800000,1.0002,1.0002,1.0001,1.0002,590432.53,590526.982566
1742756400000,1.0002,1.0002,1.0001,1.0001,360569.47,360615.415026
1742760000000,1.0001,1.0002,1.0001,1.0002,724209.97,724315.233227
1742763600000,1.0002,1.0002,1.0001,1.0001,1889149.39,1889347.308729
1742767200000,1.0001,1.0002,1,1.0001,7668395.35,7669141.119746
1742770800000,1.0001,1.0001,1,1,924583.3,924607.817162
1742774400000,1,1.0001,0.9999,0.9999,6529757.36,6529773.325503
1742778000000,0.9999,1,0.9999,1,1740970.84,1740847.109684
1742781600000,1,1.0001,0.9999,1,2109959.01,2109927.430791
1742785200000,1,1.0001,1,1,5288156.68,5288540.425293
1742788800000,1,1.0001,0.9999,0.9999,3508406.99,3508425.999725
1742792400000,0.9999,1,0.9999,0.9999,2569087.45,2569024.846344
1742796000000,0.9999,1.0001,0.9999,0.9999,3863783.94,3863717.668622
1742799600000,0.9999,1,0.9999,0.9999,4604769.53,4604676.839599
1742803200000,0.9999,1.0001,0.9999,0.9999,2501373.68,2501335.413761
1742806800000,0.9999,1.0001,0.9999,0.9999,8914267.39,8913570.235334
1742810400000,0.9999,1,0.9999,1,8906650.61,8905826.746359
1742814000000,1,1,0.9999,1,6765791.41,6765393.190432
1742817600000,1,1,0.9998,0.9998,5667184.48,5666368.358592
1742821200000,0.9998,1,0.9998,1,6744349.71,6743820.624736
1742824800000,1,1,0.9998,0.9999,6161142.43,6160500.557287
1742828400000,0.9999,1,0.9998,0.9999,5659872.34,5659310.675812
1742832000000,0.9999,1,0.9998,1,7241731.78,7241028.349289
1742835600000,1,1,0.9999,1,2138701.72,2138569.995425
1742839200000,1,1,0.9998,0.9998,6461301.33,6460299.423332
1742842800000,0.9998,0.9999,0.9998,0.9999,1683512.77,1683205.222728
1742846400000,0.9999,0.9999,0.9997,0.9999,5492233.8,5491112.11473
1742850000000,0.9999,0.9999,0.9998,0.9999,1219671.42,1219467.753664
1742853600000,0.9999,0.9999,0.9998,0.9998,2261841.01,2261539.793005
1742857200000,0.9998,0.9999,0.9998,0.9998,1738581.56,1738360.585777
1742860800000,0.9998,0.9999,0.9998,0.9998,587223.39,587122.36683
1742864400000,0.9998,0.9999,0.9998,0.9998,811486.49,811357.567688
1742868000000,0.9998,0.9999,0.9998,0.9999,871550.23,871419.173497
1742871600000,0.9999,1,0.9998,1,4026659.15,4026232.411294
1742875200000,1,1,0.9999,1,1152726.41,1152658.921231
