ts,open,high,low,close,volume,turnover
1741827600000,0.9995,0.9995,0.9994,0.9995,116138.73,116070.785241
1741831200000,0.9995,0.9999,0.9994,0.9996,405359.05,405260.897063
1741834800000,0.9996,0.9997,0.9996,0.9996,132594.64,132547.330713
1741838400000,0.9996,0.9997,0.9995,0.9995,519381.1,519171.830701
1741842000000,0.9995,0.9996,0.9995,0.9996,20872.58,20862.285974
1741845600000,0.9996,0.9996,0.9995,0.9995,47324.64,47303.430453
1741849200000,0.9995,0.9996,0.9995,0.9995,78413.1,78379.045939
1741852800000,0.9995,0.9998,0.9995,0.9997,550363.89,550177.241845
1741856400000,0.9997,0.9998,0.9997,0.9998,82803.09,82783.428778
1741860000000,0.9998,0.9998,0.9997,0.9997,587494.1,587328.711029
1741863600000,0.9997,0.9998,0.9997,0.9998,82386.94,82368.409888
1741867200000,0.9998,0.9998,0.9997,0.9997,631385.79,631219.91267
1741870800000,0.9997,0.9998,0.9997,0.9997,51596.91,51584.116911
1741874400000,0.9997,0.9998,0.9997,0.9997,246666.97,246596.696067
1741878000000,0.9997,0.9998,0.9997,0.9998,63655.54,63641.580959
1741881600000,0.9998,0.9999,0.9998,0.9999,1190055.41,1189839.584873
1741885200000,0.9999,0.9999,0.9998,0.9998,975906,975719.083591
1741888800000,0.9998,0.9999,0.9998,0.9998,234160.68,234122.342572
1741892400000,0.9998,0.9999,0.9998,0.9998,310698.76,310640.923889
1741896000000,0.9998,0.9999,0.9998,0.9998,24669.78,24666.467221
1741899600000,0.9998,1,0.9998,0.9998,255136.2,255116.258497
1741903200000,0.9998,1,0.9998,0.9999,328493.9,328491.099345
1741906800000,0.9999,1,0.9999,0.9999,150373.52,150363.538503
1741910400000,0.9999,1,0.9999,0.9999,208292.91,208290.242506
1741914000000,0.9999,1,0.9999,1,403388.21,403371.173306
1741917600000,1,1,0.9998,0.9999,1188723.05,1188603.30957
1741921200000,0.9999,1,0.9998,0.9998,718736.2,718671.390381
1741924800000,0.9998,0.9999,0.9997,0.9998,862883.13,862715.826279
1741928400000,0.9998,0.9999,0.9997,0.9998,365551.61,365485.898397
1741932000000,0.9998,1,0.9997,0.9998,1058016.75,1057843.929394
1741935600000,0.9998,0.9998,0.9996,0.9997,512461.12,512319.453429
1741939200000,0.9997,0.9997,0.9996,0.9997,222617.53,222542.919645
1741942800000,0.9997,0.9997,0.9996,0.9997,50213.16,50197.238292
1741946400000,0.9997,0.9997,0.9996,0.9997,216072.37,215994.254546
1741950000000,0.9997,0.9997,0.9996,0.9997,332597.7,332497.571736
1741953600000,0.9997,0.9997,0.9994,0.9997,877495.82,877085.480152
1741957200000,0.9997,0.9998,0.9996,0.9997,1615406.97,1614941.736702
1741960800000,0.9997,0.9998,0.9997,0.9997,890975.14,890769.539185
1741964400000,0.9997,0.9999,0.9997,0.9998,564413.39,564320.919573
1741968000000,0.9998,0.9999,0.9997,0.9997,762652,762493.245845
1741971600000,0.9997,0.9999,0.9997,0.9998,351700.39,351620.259817
1741975200000,0.9998,0.9999,0.9998,0.9998,88906.58,88892.179654
1741978800000,0.9998,0.9999,0.9998,0.9999,64145.82,64138.627905
1741982400000,0.9999,0.9999,0.9998,0.9999,1970439.63,1970240.802952
1741986000000,0.9999,1,0.9998,0.9999,2716905.19,2716869.90462
1741989600000,0.9999,0.9999,0.9998,0.9999,74367.68,74358.611281
1741993200000,0.9999,0.9999,0.9998,0.9999,67163.99,67151.726225
1741996800000,0.9999,0.9999,0.9998,0.9999,138568.89,138553.383782
1742000400000,0.9999,1,0.9999,0.9999,170360.14,170350.89905
1742004000000,0.9999,1,0.9999,1,101293.57,101287.371917
1742007600000,1,1,0.9998,0.9998,158572.35,158562.952361
1742011200000,0.9998,0.9999,0.9998,0.9999,192594.84,192573.034515
1742014800000,0.9999,1,0.9998,1,520638.36,520630.409816
1742018400000,1,1,0.9998,0.9998,677877.1,677825.8051
1742022000000,0.9998,1,0.9998,0.9999,761573.34,761467.340775
1742025600000,0.9999,0.9999,0.9998,0.9998,416606.31,416552.93922
1742029200000,0.9998,0.9999,0.9998,0.9998,100238.1,100219.019401
1742032800000,0.9998,0.9999,0.9998,0.9999,107807.23,107792.681539
1742036400000,0.9999,0.9999,0.9998,0.9999,535546.49,535464.241425
1742040000000,0.9999,0.9999,0.9998,0.9999,268226.9,268174.657828
1742043600000,0.9999,0.9999,0.9998,0.9998,915470.86,915288.490327
1742047200000,0.9998,0.9998,0.9997,0.9998,29541.3,29533.801158
