ts,open,high,low,close,volume,turnover
1741827600000,1,1.0001,1,1.0001,5.33,5.330381
1741831200000,1.0001,1.0001,1,1,1001,1001.049211
1741834800000,1,1.0002,1,1,15035.32,15036.074156
1741838400000,1,1.0001,0.9999,1,50897.28,50896.405218
1741842000000,1,1,1,1,61.22,61.22
1741845600000,1,1.0001,1,1.0001,11827.7,11827.7001
1741849200000,1.0001,1.0001,1,1,518.96,518.986081
1741852800000,1,1.0001,1,1.0001,981.02,981.069175
1741856400000,1.0001,1.0001,1,1,15.64,15.640583
1741860000000,1,1,1,1,229.29,229.29
1741863600000,1,1.0001,1,1,9564.38,9564.858308
1741867200000,1,1.0001,1,1,3311.42,3311.584914
1741870800000,1,1,1,1,0,0
1741874400000,1,1.0001,0.9999,0.9999,8597.7,8598.010182
1741878000000,0.9999,1,0.9999,0.9999,405.2,405.17975
1741881600000,0.9999,0.9999,0.9999,0.9999,0,0
1741885200000,0.9999,1,0.9999,0.9999,14.8,14.799181
1741888800000,0.9999,1,0.9999,0.9999,20140.86,20139.854605
1741892400000,0.9999,1,0.9998,0.9999,22830.39,22829.078976
1741896000000,0.9999,1.0002,0.9999,1,73227.27,73227.712237
1741899600000,1,1.0001,0.9998,0.9999,56623.51,56621.844705
1741903200000,0.9999,0.9999,0.9999,0.9999,0,0
1741906800000,0.9999,1,0.9999,0.9999,5659.52,5659.237089
1741910400000,0.9999,1,0.9999,0.9999,5034.85,5034.598352
1741914000000,0.9999,1,0.9999,0.9999,2009.56,2009.459572
1741917600000,0.9999,1,0.9999,0.9999,3646.81,3646.627781
1741921200000,0.9999,0.9999,0.9999,0.9999,1,0.9999
1741924800000,0.9999,0.9999,0.9999,0.9999,73.22,73.212678
1741928400000,0.9999,1,0.9999,1,11.61,11.609839
1741932000000,1,1,1,1,14.86,14.86
1741935600000,1,1.0001,1,1,50109.99,50111.912463
1741939200000,1,1.0001,1,1,70.51,70.513095
1741942800000,1,1.0001,1,1.0001,197.36,197.369887
