ts,open,high,low,close,volume,turnover
1764026100000,0.9997,0.9997,0.9997,0.9997,0,0
1764026400000,0.9997,0.9997,0.9997,0.9997,0,0
1764026700000,0.9997,0.9997,0.9997,0.9997,0,0
1764027000000,0.9997,0.9997,0.9997,0.9997,0,0
1764027300000,0.9997,0.9997,0.9997,0.9997,0,0
1764027600000,0.9997,0.9997,0.9997,0.9997,0,0
1764027900000,0.9997,0.9997,0.9997,0.9997,0,0
1764028200000,0.9997,0.9997,0.9997,0.9997,0,0
1764028500000,0.9997,0.9997,0.9997,0.9997,0,0
1764028800000,0.9997,0.9997,0.9997,0.9997,0,0
1764029100000,0.9997,0.9997,0.9997,0.9997,0,0
1764029400000,0.9997,0.9997,0.9997,0.9997,0,0
1764029700000,0.9997,0.9997,0.9997,0.9997,0,0
1764030000000,0.9997,0.9997,0.9997,0.9997,0,0
1764030300000,0.9997,0.9997,0.9997,0.9997,0,0
1764030600000,0.9997,0.9997,0.9997,0.9997,0,0
1764030900000,0.9997,0.9997,0.9997,0.9997,0,0
1764031200000,0.9997,0.9997,0.9997,0.9997,0,0
1764031500000,0.9997,0.9997,0.9997,0.9997,0,0
1764031800000,0.9997,0.9997,0.9997,0.9997,0,0
1764032100000,0.9997,0.9997,0.9997,0.9997,0,0
1764032400000,0.9997,0.9997,0.9997,0.9997,0,0
1764032700000,0.9997,0.9997,0.9997,0.9997,0,0
1764033000000,0.9997,0.9997,0.9997,0.9997,0,0
1764033300000,0.9997,0.9997,0.9997,0.9997,0,0
1764033600000,0.9997,1,0.9997,1,100.28,100.277493
1764033900000,1,1,1,1,0,0
1764034200000,1,1,1,1,0,0
1764034500000,1,1,1,1,0,0
1764034800000,1,1,1,1,0,0
1764035100000,1,1,1,1,0,0
1764035400000,1,1,1,1,0,0
1764035700000,1,1,1,1,0,0
1764036000000,1,1,1,1,0,0
1764036300000,1,1,1,1,0,0
1764036600000,1,1,1,1,0,0
1764036900000,1,1,1,1,0,0
1764037200000,1,1,1,1,0,0
1764037500000,1,1,1,1,0,0
1764037800000,1,1,1,1,0,0
1764038100000,1,1,1,1,0,0
1764038400000,1,1,1,1,0,0
1764038700000,1,1,1,1,0,0
1764039000000,1,1,1,1,0,0
1764039300000,1,1,1,1,0,0
1764039600000,1,1,1,1,0,0
1764039900000,1,1,1,1,0,0
1764040200000,1,1,1,1,0,0
1764040500000,1,1,1,1,0,0
1764040800000,1,1,1,1,0,0
1764041100000,1,1,1,1,0,0
1764041400000,1,1,1,1,0,0
1764041700000,1,1,1,1,0,0
1764042000000,1,1,1,1,0,0
1764042300000,1,1,1,1,0,0
1764042600000,1,1,1,1,0,0
1764042900000,1,1,1,1,0,0
1764043200000,1,1,1,1,0,0
1764043500000,1,1,1,1,0,0
1764043800000,1,1,1,1,0,0
1764044100000,1,1,0.9997,0.9997,59.45,59.440218
1764044400000,0.9997,0.9997,0.9996,0.9996,31,30.988855
1764044700000,0.9996,0.9996,0.9996,0.9996,0,0
1764045000000,0.9996,0.9996,0.9996,0.9996,0,0
1764045300000,0.9996,0.9996,0.9996,0.9996,0,0
1764045600000,0.9996,0.9996,0.9996,0.9996,0,0
1764045900000,0.9996,0.9996,0.9996,0.9996,0,0
1764046200000,0.9996,0.9996,0.9996,0.9996,0,0
1764046500000,0.9996,0.9996,0.9996,0.9996,0,0
1764046800000,0.9996,0.9996,0.9996,0.9996,0,0
1764047100000,0.9996,0.9996,0.9996,0.9996,0,0
1764047400000,0.9996,0.9996,0.9996,0.9996,0,0
1764047700000,0.9996,0.9996,0.9996,0.9996,0,0
1764048000000,0.9996,0.9996,0.9996,0.9996,0,0
1764048300000,0.9996,0.9996,0.9996,0.9996,0,0
1764048600000,0.9996,0.9996,0.9996,0.9996,0,0
